what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044208158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044226526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044228430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044248373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044252965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044263267
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373044276996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044283363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044310180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044323976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044333928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044345693
activated,view,org.python.pydev,2.7.5.2013052819,"org.python.pydev.navigator.view",1373044409356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044423362
opened,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373044436213
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373044436239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044436324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044436401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044440591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044469018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044623371
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373044657547
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373044659673
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373044694129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044699106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373044878495
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373044897090
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373044904104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044914649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373044922061
