what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373963404944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373963405093
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373963414623
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1373963428290
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373963489709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963495132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963709380
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373963733370
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373963751690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373963774797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963786606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963806018
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373963808087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1373963812115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963813674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963877148
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373963879008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373963883840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373963884275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373963898792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373964192107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373964216949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373964462536
executed,command,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.actions.comment",1373964484064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1373964495659
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1373964504914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373964518753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373965082572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965085762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373965093866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373965160901
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1373965183745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1373965186465
activated,editor,org.python.pydev,2.7.5.2013052819,"org.python.pydev.editor.PythonEditor",1373965188396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1373965192352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373965193198
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373965203731
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1373965224700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373965239974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373965240396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373965255934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965365454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965365712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1373965371454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965376302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965376605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965376828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965377341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965377555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965377773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965377957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965378458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965378489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965378520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1373965378551
